restaurant_name,author,rating,text,time
池先生 kopitiam premium (公館店),玄機戰法 - 建宏哥,5 顆星,"⭐️ 美食推薦：池先生 (Mister C. P.) - 溫和順口的肉骨茶飯！

今天終於來到了人氣超旺的「池先生」！
我這次點了他們的招牌肉骨茶飯，真的超級好吃！最棒的是它的湯頭屬於溫和順口的類型，完全不會有過度的胡椒辛辣感，讓我可以大口享用，非常適合不愛嗆辣胡椒味的朋友。

雖然是平日前往，但店裡依舊是座無虛席、高朋滿座！果然好味道是藏不住的。

📝 貼心小提醒
• 推薦品項： 肉骨茶飯 (溫和無胡椒辣味)
• 用餐建議： 店家生意非常好，建議想來用餐的朋友們可以早一點到，才不用等候太久喔！",1 個月前
池先生 kopitiam premium (公館店),玫啊,4 顆星,"餐點適當增添辣醬可轉換味道。
🥣炸物拼盤-南乳炸雞風味濃厚，不沾醬也好吃
🥣臘腸雞肉瓦煲飯-溫度夠熱、肉配醬好吃、香米
🥣滑蛋河-河粉本身夠味，搭配滑蛋勾芡",1 個月前
池先生 kopitiam premium (公館店),NW,2 顆星,"點了椰漿飯佐炸雞雞肉烤串
椰漿飯不太好吃🥲味道有點混濁，飯也煮得不太好沒有米香，配菜調味普通，整體很不和諧配料們各自為政，只有沙爹雞肉烤串有在水準上。同行友人點了福建炒麵，味道蠻死鹹單調，配料也少少的。
飲品點了摩摩喳喳和珍多，吃起來也很普通。
整體來說很不推薦
有更好的選擇",2 個月前
池先生 kopitiam premium (公館店),Yihsin Yeh,4 顆星,"池先生是一家馬來西亞料理連鎖店，牆壁上畫了很多殖民風格的小房子，非常療癒。而這次去吃KAYA吐司跟馬來西亞的美祿當下午茶。

KAYA吐司的吐司烤得外皮酥鬆、有漂亮的焦糖色烤痕，咬下去酥軟不會乾柴，而且光聞就能聞到咖椰醬跟牛油甜滋滋的味道，令人垂涎三尺，吃下去有點逼近台南食物的甜度，但微微的咖椰醬椰奶和香蘭葉香氣，融入嘴裡讓味道多了點夏天的感覺，而不會過於甜膩，很適合當餐後點心或下午茶。

至於美祿…感覺就像一杯冰涼然後味道偏淡的甜巧克力飲，而且不能夠去冰😓加上跟KAYA吐司搭配，美祿的味道會被蓋掉，總之個人覺得沒有到必喝的程度。

另外這家餐廳價位偏高，我吃了兩樣東西就185元，不過可以刷信用卡。提供喜歡異國美食達人參考唷！",3 個月前
池先生 kopitiam premium (公館店),熊女士,4 顆星,"C5炒河粉：本身就有辣，但我點大辣（朋友覺得很辣），我自己還好，覺得很好吃😋
B6池先生椰漿飯-乾咖哩牛+沙爹：肉肉都偏甜，咖哩牛感覺很像調理包（朋友覺得蠻好吃的）
S2肉骨茶：一樣偏甜，但我覺得很好喝！裡面肉肉很多，但配料覺得有點少，有三角豆腐、豆泡、還有一戳金針菇，沒有菜菜的影子

總體來說，餐點偏甜跑，炒河粉好吃
下次會想嘗試其他甜點飲料部分",4 個月前
池先生 kopitiam premium (公館店),Grace Chang,5 顆星,環境舒適，服務周到，餐點味道很好，飲料也很特別，價位合理。我點嫩雞跟燒雞雙拼，雞肉跟米飯味道都很好，辣醬有畫龍點睛的效果。服務人員收桌快速，不會讓餐廳看起來杯盤狼籍的樣子。牆上的印畫是馬來西亞的商舖的設計，風格鮮明！在這裡用餐非常舒服！,5 個月前
池先生 kopitiam premium (公館店),Leo Liao,5 顆星,"沙爹烤串讚讚，肉嫩醬汁甜甜很好吃。
臘腸雞煲飯也很好吃，鹹香味足有鍋巴（等較久）。
海南雞不推，好清淡沒什麼味道。
金桔紅茶好喝，一開始太甜，但冰塊化掉以後完美。",1 個月前
池先生 kopitiam premium (公館店),滿滿,3 顆星,初次用餐，餐點味道尚可，三寶飯的肉很好吃，但飯偏軟，會糊糊的，口感不佳，咖椰吐司不是夾整塊奶油，是用乳瑪琳，不道地，有些失望,3 個月前
池先生 kopitiam premium (公館店),Tripp Jiang,4 顆星,"人潮一直來
也有看到外國人來光顧
椰奶吐司一定要吃吃！
拉茶固定糖，體感大概半糖到8分
海南和燒臘雞好吃

只有黃光是生的，可能需要沾一下醬汁
推推",3 個月前
池先生 kopitiam premium (公館店),亮雨,4 顆星,"叫了肉骨茶及印度炒麵。
肉骨茶很甜，甜的程度大概就是去飲料店點飲料忘了和店員說要微糖；
印度炒麵很辣，辣的程度大概就是去mamak檔忘了和abang說tak mau pedas。",3 週前
池先生 kopitiam premium (公館店),Danny Ke Lung Sung,4 顆星,"味道不錯👍
炒粿條有鍋氣、香，粿條有點儿軟、量小，240元。
和咖哩海鮮拉薩比差一點，270元、量大料多👍就是花枝圈有點儿好、不太好嚼🤦
商業午餐+飲料扣40元，櫃枱點餐付款、沒服務費🤣🤣🤣👍👍",4 個月前
池先生 kopitiam premium (公館店),Lèvr【第10級在地嚮導】,5 顆星,"池先生和對面的巴生仔都是公館有名的大馬餐廳，聽說是連大馬人都認證的道地。這次點的所有餐點都好吃，很喜歡椰漿飯、炸雞、叉燒和咖椰吐司。假日來外帶滿滿人潮，外帶包裝非常用心，塑膠盒很厚實，湯汁也密封包裝；內用跟鼎泰豐一樣不同人數抽不同號碼牌，服務人員態度都非常好，店內大馬氛圍滿滿，下次會想來內用。
✅池先生燒臘三寶(280元)：
不錯，海南雞、叉燒和燒雞都有水準，尤其是叉燒的脆皮更是一絕，不過骨頭稍多了點，另外配菜有台式白菜滷頗神秘
✅椰漿飯-炸雞配沙嗲雞肉烤串(270元)：
之前在馬來西亞當地吃Nasi Lemak沒有很愛，但池先生的很可以，好吃！沙嗲雞肉帶花生醬甜味，肉質鮮嫩不過老；炸雞是今天MVP，炸得有點焦香味又很juicy真好吃，沾辣椒醬也很夠味
✅馬來西亞肉骨茶飯(260元)：
不錯，甜口帶一點中藥味的湯頭，喝起來很溫和，豬肉有嚼勁，還有一點五花皮的部位，飯有加椰漿和油蔥，很有味道
✅咖椰吐司(+60元加購)：
很邪惡很好吃，咖椰醬就是讓人一口接一口
✅馬來西亞美祿(80元)：
不錯，說是大馬進口的，似乎比台灣美祿甜度低一點，價格有點貴",7 個月前
池先生 kopitiam premium (公館店),寶欣欣,5 顆星,"這是我的馬來西亞菜初體驗獻給了池先生，肉骨茶的肉很多湯甜甜的很好喝。
珍多是一杯很特別的冰凍甜點，非常椰，綠綠的不知道是什麼入口即化口感佳。還有其他飲料都很想試，下次去有機會再試別的看看。
椰漿飯的雞肉很軟嫩，醬料帶點辣味。",4 個月前
池先生 kopitiam premium (公館店),Grace,3 顆星,料理本身普通，不過份量蠻大。不是完全像馬來西亞當地的口味。也不是完全不像，只是跟想像中有落差。但肉骨茶味道還可以。,2 個月前
池先生 kopitiam premium (公館店),Lily Chien,4 顆星,"今天難得還有位置就到訪
2人點了椰漿飯（牛配雞肉串）及叻沙麵，也點了烤咖椰吐司。
椰漿飯肉嫩且醬汁夠味，還附了一疊辣醬，蠻有南洋風情，可惜蝦餅是軟的，應該算裝飾不太能吃。叻沙麵的料很多，味道也不錯。至於吐司我覺得不用特別點，吐司很乾，醬也普通。",5 個月前
池先生 kopitiam premium (公館店),E,2 顆星,"以前很喜歡你們的炒粿條，有鍋氣又香。
最近再度回訪不知道是不是有換師傅，我整盤一直吃到這些黑黑的焦渣渣味道都被影響，能理解大火炒可能會有點微焦，但你們少了丸子就算了，不能功力變弱多這些渣渣送我吧？！？！",2 週前
池先生 kopitiam premium (公館店),Judy Wang (王意婷),5 顆星,"碩士開學第一天中午下課，一定要吃男友大學時期常常吃+熱情推薦的公館美食💕

牛肉咖喱微辣+海鮮配菜（蝦蝦好讚）+泰國米，吃很飽很滿足😌

平日中午或出示學生證可以折$40",3 個月前
池先生 kopitiam premium (公館店),aeon linn,5 顆星,很不錯，算是平價消費，幾乎不用等待，平日用餐飲料還可折40，食物精緻且飽足感很高。,3 個月前
池先生 kopitiam premium (公館店),joylog weekend,5 顆星,"【池先生kopitiam premium(公館店)】🥘道地馬來西亞料理
公館名店，用餐時間人潮很多，
這次點了臘腸雞肉瓦煲飯、炒粿條、烤加椰醬吐司，
餐點都非常好吃，瓦煲飯還有點脆脆的鍋巴，
炒粿條也非常入味，飲品也好喝，服務也很棒，
用餐環境也乾淨，期待下次回訪吃看看其它品項。

#池先生kopitiampremium公館店 #馬來西亞料理 #公館美食",1 個月前
池先生 kopitiam premium (公館店),Diana,5 顆星,餐點很夠味，炸雞酥脆肉ㄓˊ軟嫩多汁，烤雞肉配醬很對味，小魚乾酥脆到不行。海鮮跟肉給很多，完全吃的飽飽啦。👍,5 個月前
池先生 kopitiam premium (公館店),Yiting Huang,4 顆星,一開門就去不用排很久，上菜很快但跟期待的有落差，飯有點軟爛，整體沒有很美味,2 個月前
池先生 kopitiam premium (公館店),Esther chang,4 顆星,"當天點了
1.椰飯沙爹串+海鮮：海鮮醬真的蠻辣的，平常不吃辣或小辣的自行斟酌，口味大部分都偏甜，連串肉都是偏甜醬，看評論有說肉串柴，但當天吃起來覺得還可以接受，不至於到柴的程度
2.單點肉骨茶250元（加飯的差異好像只多10元）：三層肉應該有2-3塊以上、加上排骨肉1-2塊，湯頭一樣偏甜清淡，裡頭還有放豆皮、炸豆包等等，有附贈辣醬油很對味",5 個月前
池先生 kopitiam premium (公館店),Izzie Yi-Chin Tsai,5 顆星,炒粿條椰漿飯肉骨茶讚、但咖椰吐司不是記憶中的味道,1 個月前
池先生 kopitiam premium (公館店),bin bin,5 顆星,"今天點了這些
海陸叻沙湯麵，料很多，油豆腐太多塊，碗太小了，變的很擁擠所以湯有點少，有點太濃稠
三寶飯最好吃
肉骨茶湯頭味道很淡有點太甜
炒粿條一般，沒有泰式炒粿條或乾炒牛河來的好吃
（必點）摩摩渣渣110元超豐盛料多大碗
無糖馬來黑咖啡也非常香濃好喝",8 個月前
池先生 kopitiam premium (公館店),W White,5 顆星,"✨烤咖椰吐司必點✨
每次都是為了這個🍞來的
炒河粉好吃
很Q
煲仔飯就有一點偏鹹",1 個月前
池先生 kopitiam premium (公館店),Jhih Syun Yang,5 顆星,"點了三寶飯及椰漿沙爹雞肉串飯還有咖椰吐司、拉茶

覺得份量蠻足夠 也很好吃
上餐速度也很快
下次還想來吃",4 個月前
池先生 kopitiam premium (公館店),Y Y,5 顆星,肉骨茶飯好吃！不會有胡椒辣，平日依舊客滿，可以早一點去。,4 個月前
築本屋公館店,Cindy的享食天堂,4 顆星,我們這次點了里肌豬排定食、腰內豬排定食及里肌鍋膳，米飯好吃、豬排很厚也很大塊，腰內豬排也很軟嫩好吃，白飯及高麗菜絲都可以免費續哦！味噌湯裡面還有小魚乾湯頭很鮮甜！吃超飽的，推薦大家去吃哦！,2 週前
築本屋公館店,艾莉,5 顆星,"在公館附近的日式料理店,賣的定食和丼飯都還蠻平價的，最便宜的丼飯只要99元，其他價位約在199到299之間，學生很多在吃，點定食的話，他飯跟高麗菜絲是都可以在加，真的是可以吃很飽，我點的特勝豬排鍋超好吃，可以吃到腰內肉和里肌肉，炸過再去煮，搭配那個半熟蛋很好下飯，也可以點炸過酥酥的特盛豬排定食，不過點一般的就很大片了，他都是要排隊才吃得到，因為實在是吃到飽又不貴，還可以加購套餐有可樂餅加飲料或是唐揚雞塊加飲料，都是不錯的選擇，想吃飽的歡迎來這邊吃 ，公館排隊美食就推這家了！",1 個月前
築本屋公館店,加榮（John）,5 顆星,"很久沒有吃到如此滿意的豬排丼飯、定食，雖說價位屬於平價，但各方面品質都贏過許多其它知名連鎖品牌。

-服務很好、親切、效率，環境乾淨、整潔，餐具擺放能滿足強迫症。
-腰內豬排皮脆、柔嫩多汁，單吃就有股檸檬清香，蘸醬巨下飯。
-鍋膳是第一次吃，若是咖哩醬飯分離派，絕對會愛上，醬汁鹹淡適中，即使泡在醬汁中仍能吃出肉的原味。
-白飯是靈魂，粒粒分明、光亮飽滿，單吃能回甘、配飯不軟爛。（鍋膳品項可續飯）
-味噌湯裡的魚豆腐（還是百頁？）畫龍點睛，多了一層口感，讓平常用來解膩的湯品不致平淡無奇。

總結，很欣賞你們的用心，相信要堅持這些一定不容易，若有機會定會呼朋引伴再訪。謝謝你們如此用心對待食材、客人、自己的信念。",1 週前
築本屋公館店,吃貨喵HanHan,5 顆星,"外帶牛丼飯109元
溫泉蛋25元
總共134元
有附一碗味增湯
餐點美味
只收現金",1 個月前
築本屋公館店,Mavis Chen,5 顆星,"第二次來訪這一次有比較早來，11點就到不需要排隊
上次點海陸雙拼，這一次換點腰內定食
每次看到份量都覺得很餓，應該等一下會想要再吃別的，結果都是吃完之後覺得其實好撐喔根本無法再點其他的來吃。
下次再來想嚐嚐牛五花定食😆",4 個月前
築本屋公館店,Yu Hsuan Wu,5 顆星,"今天點雞排鍋膳，醬汁調味剛剛好不會太鹹，然後雞排泡過醬汁後的口感非常讚👍
白飯和高麗菜可以續，白飯可以自己去加，但是高麗菜就要跟服務員說一下，服務員就會把新的一盤高麗菜放到你桌上
另外，師大學生只要出示學生證就可以折10塊喔！",4 週前
築本屋公館店,CY Y,5 顆星,"📍店內有些位子靠得比較近，小擁擠
📍腰內豬排好吃，份量也很夠，醬料調配好下飯，白飯有些部分比較乾
📍味增湯、高麗菜、小菜就正常好吃，有提供水👍🏻",上次編輯：2 個月前
築本屋公館店,李大仁,4 顆星,白飯需要加強，炸豬排跟牛五花肉都不錯吃，但炸豬排的醬太鹹了，小菜很可口，味噌湯沒什麼料，碗筷茶水才自助式，座椅空間有點擁擠，感覺有點吵雜,4 個月前
築本屋公館店,許淳翔,3 顆星,餐點本身一般且偏鹹，價格略高，只收現金，不過用餐環境算舒適,4 個月前
築本屋公館店,ChuLin,5 顆星,"很久沒回公館了，那時候住這還沒有這家店
很好吃，點了特盛豬排鍋膳
只能付現，身上沒現金只好去附近領錢
店員很可愛🤣",1 個月前
築本屋公館店,Yiyi,5 顆星,腰內豬排真的超好吃🤩 肉質嫩又多汁，一口咬下超滿足！就是人很多的時候要等蠻久的（室內會有點熱），不過美味絕對值得～,3 個月前
築本屋公館店,陳可樂,5 顆星,不敢相信這樣才300多塊，CP超高，而且很好吃❤️還會再來滴～～～,3 週前
築本屋公館店,Shi Xin Wang,4 顆星,"唐揚雞炸得很好吃！
皮薄汁多也給很多塊，飯也有粒粒分明",5 個月前
築本屋公館店,George,4 顆星,"整體3星半。
鍋饍是把炸物泡在蒸蛋和醬汁中，外皮都濕濕的，不是很能理解。整體味道普通，份量很夠，生高麗菜絲可以免費續。適合大學生。
20250506",6 個月前
築本屋公館店,Yong Rui Wang,4 顆星,"牛丼不錯吃，味道很下飯且醬汁充足，會附味噌湯。非定食類餐點不能加飯有點小可惜。

丼飯水準挺好，但價格略高，不過餐點價格有符合其品質。另外由於餐點好吃，常常需要排隊等好一陣子才有辦法入店用餐，建議可以晚上8點左右去吃。",4 個月前
築本屋公館店,YuChen Chiang,5 顆星,"位於公館的日式餐廳，
價格真的蠻平價的，
200元上下就能吃到不錯的日式料理，
不論味道、份量都不錯，
用餐環境也蠻好的，
用餐時間人潮多，
偶而會需要排隊一下。",4 個月前
築本屋公館店,辰泗,5 顆星,"店內的用餐環境還不錯，店員服務也很親切。店內有飲料跟用水可以自行取用。

我點了是雞排定食，180元，有如圖片上的食物（除了可樂餅），配菜基本上都還可以，基本上蠻均衡的；不過白飯的部分有一點黏，比較可惜，吃起來會比較乾。重點是主菜，炸雞排真的很讚很讚，個人蠻喜歡的，因為外皮炸的非常的均勻且酥脆超級愛，裡面肉質也很新鮮，整體吃起來口感非常的好！一級棒👍

另外套餐加點69元可以附兩片可樂餅和一杯奶茶，可樂餅還不錯，一樣外皮很酥脆，奶茶口感蠻滑順的，而且也算大杯，個人蠻喜歡👍

現金付款。",11 個月前
築本屋公館店,Bryan Lee,4 顆星,"店內乾淨，腰內鍋膳還不錯吃，高麗菜絲和白飯可續，是適宜的用餐地方。
再訪，點了特盛豬排及腰內鍋膳，雖沒驚喜感，但份量也夠了。後來逛公館夜市都無法再買東西吃了。
隔壁點唐揚雞有五塊，看起來不錯，列入下次首選。

2026／6續訪，點了里肌豬排，腰內豬排，又點了唐揚雞，唐揚雞真的有五塊。這次唐揚雞排第一名了。😄
用餐時間都要排隊了。",上次編輯：5 個月前
築本屋公館店,許惠姍,5 顆星,"這次是來公館店 位置蠻多 自助區有開水
假日下午3點左右來 還有不少人用餐
內用定食和鍋膳 白飯和高麗菜絲都可以無限續❕
整體味道一般 但餐點CP值高

當天來公館吃飯逛逛 附近蠻多豬排店
不過很多家休息了 這家下午沒休👍🏻

#腰內鍋膳 $200
附湯、小菜、白飯和高麗菜絲
腰內豬排口感OK
醬汁鹹香可以多配幾碗飯
喜歡吃軟豬排可以點🙌🏻

#胡麻烏龍冷麵 $130
真的只有微微微辣～有附一樣小菜
醬全加吃到最後會有一點點膩 就可以配泡菜哈哈
有機會再吃會想點另一個日式烏龍冷麵

#卡茲脆雞 + 飲品 $89
本來要點唐揚腰內 不過售完了
卡茲脆雞口感偏乾不好咬 可以點別的
看評論很多人推築本奶茶！
喝起來是早餐店奶茶的味道😆

🧡🧡喜歡我的評論歡迎追蹤IG: nice_x3life",1 年前
築本屋公館店,MAIまい,4 顆星,"食物不錯，以cp質來說很棒了！定食和鍋物的白飯和高麗菜絲都可以免費續

腰內鍋220，蛋可以要求全熟，另外含小菜和味噌湯
竹莢魚是兩片，花椰菜的份量以這價錢很可以~

店員親切友善，而且冷氣壞掉也有提前告知排隊等候的人",9 個月前
築本屋公館店,星雩,5 顆星,"整體會比較推薦給學生
內用定食或鍋膳享白飯、高麗菜絲無限續，算是公館商圈較平價的日式炸豬排店，中午時段12點左右人很多會需要等待一陣子
不過店內播的音樂是中文嘻哈跟電音曲，感覺跟店面整體氛圍很不搭🥹

【推薦餐點】
雞排鍋膳（220$）⭐⭐⭐⭐⭐
肉質比豬排更軟嫩，推薦😋

腰內鍋膳（220$）⭐⭐⭐⭐⭐
包含白飯、炸腰內豬排鍋膳、味噌湯、毛豆、牛蒡絲、高麗菜絲，個人來說吃得蠻飽的

胡麻花椰（40$）⭐⭐⭐⭐⭐
柴魚片給超級多！花椰菜份量也算多，可以吃得很滿足😋

【一般餐點】
麻辣牛丼（130$）⭐⭐⭐
飯量相當多，牛肉本身沒有很辣，價格相較起來吃定食會更划算，不會特別推薦

醬燒牛五花定食（180$）⭐⭐⭐
牛肉基本上就跟牛丼的一樣但比較單調，白飯偏硬，沒有特別好吃",上次編輯：1 年前
築本屋公館店,Joey Hsu,1 顆星,"看很多人排隊，餐點真的還好，座位擁擠
吃到最後蠻乾的，被人潮騙來吃
這個價位還沒發票，去買夜市吃好像還比較爽
說不上壞，就是普通，1.5顆星",上次編輯：5 個月前
築本屋公館店,Reina,4 顆星,"福X亭比較好吃，但築本屋比較便宜，品質也給過
炸腰肉偏乾，鍋膳是泡軟的炸豬排，也很好吃
個人會更喜歡鍋膳一點～
高麗菜絲跟白飯可以續，小菜牛蒡毛豆好吃
胡麻花椰量多，但好吃度是可點可不點
環境偏擁擠一些",8 個月前
築本屋公館店,因無所住而生其心,4 顆星,2024.12.29首訪，點了炸牡蠣（三粒）、流沙蝦球（五顆）、胡麻花椰及腰內鍋膳共台幣538元，炸牡蠣及流沙蝦球很好吃，胡麻花椰也不錯。,11 個月前
築本屋公館店,吉姆車,5 顆星,"定食的白飯高麗菜無限供應
腰內 里肌定食不錯吃 份量夠 吃很飽
溏心蛋不錯吃
只是這個世代吃的東西一直漲價 而且大多不是漲$5 而是一次漲$10

一直漲價

更：腰內是三塊小塊的
丼飯不錯吃
雞排也好吃",上次編輯：2 個月前
築本屋公館店,Irene,3 顆星,"這一定會是學生的愛！
因為飯、高麗菜絲、小菜可以無限續！
以價位約在180-220之間來說算是高CP值
但餐點部分算是普通，不是驚豔的。

腰內定食180元
-豬排切好了，但是一塊塊的那種，跟預期的一長條豬排不太一樣。
-肉質需要咬一下才能咬斷
-這個的高麗菜絲沒有加醬，必須吃微苦的原味。

腰內鍋膳200元
-根本就是壽喜燒醬+蛋+炸豬排，想點鍋膳就是想避免吃「炸」，以為會是像小火鍋一樣的肉片，我誤會了，是把炸好的豬排放進壽喜燒醬汁裡，結果吃了濕濕軟軟的炸豬排😭
-獨立一盤高麗菜絲有加和風醬

附湯
-味增湯的豆腐是百頁豆腐，不是嫩豆腐
-味道清淡，不會太鹹

小菜
-黃金泡菜常溫，如果是冰的比較好，不然這天氣應該很容易長菌
-毛豆，不會過硬，好吃

環境舒服，木頭色佈置，吃粗飽推薦！",1 年前
築本屋公館店,Alan Chen,5 顆星,"無庸置疑，本店是附近CP值最高的餐廳之一，平常日中午用餐，滿滿的學生就能夠窺知一二。

一碗燒肉丼90元，飯量與肉對於一個在附近上班的男子來說，十分飽足。另外魚丼100元，看似平凡的炸物也十分有味道呀！加點了可樂餅、溫泉蛋，味道也挺不錯，雖然炸得顏色深了些，但CP值、CP值很高的啦。

兩個人中餐300多元，對於上班族來說，根本超划算。無怪乎外頭滿滿的大學生在排隊！

停車不方便，本餐廳訂位應該也不是針對想特別開車過來的族群吧。餐廳就靠近公館捷運站4號出口，坐捷運過來準沒錯。

位置在巷子裡頭，miss energy隔壁，蠻容易錯過了，請特別留意。",1 年前
築本屋公館店,Ellisa紀約珥,5 顆星,"美味的日本料理套餐。值得推薦再來。
待位：平日用餐時間需等候15-20分鐘。
環境：舒適。座位間距稍窄。
服務：店員服務態度都很好。看他們前後忙碌，沒有休息的時候。辛苦了。
餐點：醬燒牛五花套餐（180元）肉質嫩，很下飯。白飯也好吃。最棒的是高麗菜絲可以續，補充纖維質！小菜有牛蒡絲和毛豆。想好好吃飯的時候都可以來。",1 年前
